code,tm,signal_name,period,chg_pct_4,chg_pct_8,chg_pct_16,chg_pct_20,chg_pct_24
600703.XSHG,2018-01-02 10:30:00,Gold,60m,0.0406602254428,0.0446859903382,-0.0024154589372,-0.000402576489533,-0.00281803542673
002028.XSHE,2018-01-02 10:30:00,BottomDivergence,60m,-0.00553846153846,-0.00430769230769,0.0123076923077,-0.00123076923077,-0.016
002028.XSHE,2018-01-02 10:30:00,Gold,60m,-0.00553846153846,-0.00430769230769,0.0123076923077,-0.00123076923077,-0.016
000651.XSHE,2018-01-02 10:30:00,Gold,60m,0.0243902439024,0.030155210643,0.0822616407982,0.0831485587583,0.146341463415
002415.XSHE,2018-01-02 11:30:00,BottomDivergence,60m,0.0189364461738,0.0316472114137,0.032944228275,0.0536964980545,0.0505836575875
002415.XSHE,2018-01-02 11:30:00,Gold,60m,0.0189364461738,0.0316472114137,0.032944228275,0.0536964980545,0.0505836575875
601398.XSHG,2018-01-03 14:00:00,Death,60m,-0.0152284263959,-0.0135363790186,-0.0135363790186,-0.00169204737733,0.00507614213198
002236.XSHE,2018-01-05 15:00:00,Death,60m,0.0229636048527,0.0242634315425,0.0493934142114,0.00953206239168,0.0155979202773
002415.XSHE,2018-01-05 15:00:00,Death,60m,0.00374812593703,0.0314842578711,0.0352323838081,0.0567216391804,0.0669665167416
002415.XSHE,2018-01-08 10:30:00,Gold,60m,0.0112191473448,0.0261780104712,0.0428820742957,0.0575916230366,0.0698080279232
600703.XSHG,2018-01-08 11:30:00,Death,60m,0.029304029304,0.004884004884,-0.002442002442,-0.049654049654,-0.113553113553
002466.XSHE,2018-01-09 11:30:00,Death,60m,-0.0397697540555,-0.0320948892377,-0.129949415664,-0.119483690912,-0.125239839526
002028.XSHE,2018-01-09 11:30:00,Death,60m,-0.01789019124,-0.0166563849476,-0.0888340530537,-0.0906847624923,-0.0882171499075
601398.XSHG,2018-01-10 11:30:00,Gold,60m,0.0119250425894,0.0204429301533,0.0528109028961,0.0971039182283,0.132879045997
600085.XSHG,2018-01-10 14:00:00,Death,60m,0.00484261501211,-0.00393462469734,0.00544794188862,0.0157384987893,0.0242130750605
600703.XSHG,2018-01-11 11:30:00,Gold,60m,-0.0308422301305,-0.0767101621194,-0.106761565836,-0.111111111111,-0.115460656386
002236.XSHE,2018-01-11 15:00:00,Gold,60m,-0.037985136251,-0.0322047894302,-0.0338563170933,-0.00908340214699,0.0635838150289
600703.XSHG,2018-01-12 11:30:00,Death,60m,-0.047327621379,-0.111383108935,-0.0828233374133,-0.0873113015096,-0.0342717258262
002236.XSHE,2018-01-15 10:30:00,Death,60m,0.0229735587343,-0.0169050715215,0.0437798006068,0.144343302991,0.132639791938
300187.XSHE,2018-01-15 10:30:00,Death,60m,-0.00667302192564,-0.00190657769304,0.0352716873213,0.0743565300286,0.0581506196378
002415.XSHE,2018-01-16 15:00:00,Death,60m,0.0134764162715,0.00424257549289,0.0424257549289,0.0389318692288,0.0249563264287
600085.XSHG,2018-01-16 15:00:00,Gold,60m,-0.00238024397501,0.0101160368938,0.0226123177626,0.0205296042844,0.0211246652782
000651.XSHE,2018-01-17 10:30:00,Death,60m,-0.0051763803681,-0.00268404907975,0.0663343558282,0.0640337423313,0.0694018404908
300187.XSHE,2018-01-17 14:00:00,Gold,60m,-0.0232974910394,-0.0089605734767,-0.0089605734767,-0.00448028673835,-0.0134408602151
002466.XSHE,2018-01-18 11:30:00,BottomDivergence,60m,-0.000988728495155,0.00158196559225,0.00968953925252,0.0268934150682,-0.00790982796124
002466.XSHE,2018-01-18 11:30:00,Gold,60m,-0.000988728495155,0.00158196559225,0.00968953925252,0.0268934150682,-0.00790982796124
600703.XSHG,2018-01-18 14:00:00,Gold,60m,0.00177856825256,0.0595820364606,0.0844819919964,0.0773677189862,0.0933748332592
002236.XSHE,2018-01-18 15:00:00,BottomDivergence,60m,0.0733333333333,0.0766666666667,0.05375,0.0754166666667,0.0466666666667
002236.XSHE,2018-01-18 15:00:00,Gold,60m,0.0733333333333,0.0766666666667,0.05375,0.0754166666667,0.0466666666667
002028.XSHE,2018-01-18 15:00:00,Gold,60m,-0.00892857142857,0.032967032967,0.0281593406593,0.0240384615385,0.0171703296703
000651.XSHE,2018-01-22 14:00:00,Gold,60m,0.00335689045936,-0.0137809187279,0.0139575971731,-0.0146643109541,-0.0397526501767
002415.XSHE,2018-01-22 15:00:00,Gold,60m,-0.00335168781422,-0.0167584390711,-0.0531481924826,-0.0541058175724,-0.0596121618386
300187.XSHE,2018-01-24 10:30:00,Death,60m,0.0192837465565,0.0,-0.0321395775941,-0.0523415977961,-0.0550964187328
